id,ma_thiet_bi,associated_with,loai_id,hang_san_xuat_id,so_dang_ky,so_giay_dang_kiem,nam_san_xuat,nam_su_dung,so_khung,so_may,dv_so_huu_id,dv_quan_ly_id,dv_thue_id,khu_vuc_id,model_id,ghi_chu,tag_1,last_modified_by_user_id
596,NB232,NB232,23,7,,Không đăng ký,2010,2010,,,18,18,1000,1,1000,,,
597,NB233,NB233,23,7,,Không đăng ký,2010,2010,,,18,18,1000,1,1000,,,
598,NB234,NB234,23,7,,Không đăng ký,2010,2010,,,16,1,1000,1,1000,,,
599,NB235,NB235,23,7,,Không đăng ký,2010,2010,,,16,1,1000,1,1000,,,
600,NB236,NB236,23,7,,Không đăng ký,2010,2010,,,16,1,1000,1,1000,,,
601,NB237,NB237,23,7,,Không đăng ký,2010,2010,,,16,1,1000,1,1000,,,
602,NB238,NB238,23,7,,Không đăng ký,2010,2010,,,16,1,1000,1,1000,,,
603,NB239,NB239,23,7,,Không đăng ký,2010,2010,,,16,1,1000,1,1000,,,
604,NB240,NB240,23,7,,Không đăng ký,2010,2010,,,16,1,1000,1,1000,,,
605,NB241,NB241,23,7,,Không đăng ký,2010,2010,,,26,1,1000,1,1000,,,
606,NB242,NB242,23,7,,Không đăng ký,2010,2010,,,26,1,1000,1,1000,,,
607,NB243,NB243,23,7,,Không đăng ký,2010,2010,,,26,1,1000,1,1000,,,
608,NB244,NB244,23,7,,Không đăng ký,2010,2010,,,26,1,1000,1,1000,,,
609,NB245,NB245,23,7,,Không đăng ký,2010,2010,,,26,1,1000,1,1000,,,
610,NB246,NB246,24,25,,50KT-000.37,2011,2011,,,13,39,1000,4,1000,,,
611,NB247,NB247,24,25,,50KT-000.38,2011,2011,,,13,39,1000,4,1000,,,
612,NB248,NB248,23,34,,Không đăng ký,2012,2012,,,10,1,1000,1,1000,,,
613,NB249,NB249,23,34,,Không đăng ký,2012,2012,,,10,1,1000,1,1000,,,
614,NB250,NB250,23,34,,Không đăng ký,2012,2012,,,10,1,1000,1,1000,,,
615,NB251,NB251,23,34,,Không đăng ký,2012,2012,,,10,1,1000,1,1000,,,
616,NB252,NB252,23,34,,Không đăng ký,2012,2012,,,10,1,1000,1,1000,,,
617,NB253,NB253,23,34,,Không đăng ký,2012,2012,,,6,6,1000,1,1000,,,
618,NB254,NB254,23,34,,Không đăng ký,2012,2012,,,6,6,1000,1,1000,,,
