id,ma_thiet_bi,associated_with,loai_id,hang_san_xuat_id,so_dang_ky,so_giay_dang_kiem,nam_san_xuat,nam_su_dung,so_khung,so_may,dv_so_huu_id,dv_quan_ly_id,dv_thue_id,khu_vuc_id,model_id,ghi_chu,tag_1,last_modified_by_user_id,created_at,updated_at
50,VTH-012,Q12,49,5,KE12,19MT-2625,2007,2007,,,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
51,VTH-013,Q14,49,5,KE14,19MT-2626,2007,2007,,,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
52,VTH-014,Q15,49,5,KE15,,2009,2009,,,2,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
53,VTH-015,Q16,49,5,KE16,,2009,2009,,,4,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
54,VTH-016,Q17,49,5,KOCK17,19MT-2916,2011,2011,,,3,3,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
55,VTH-017,Q18,49,5,KOCK18,19MT-2915,2011,2011,,,3,3,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
56,VTH-018,Q19,49,5,KOCK19,,2012,2012,,,4,4,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
57,VTH-019,Q20,49,5,KOCK20,,2013,2013,,,29,29,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
58,VTH-020,Q21,49,5,KOCK21,,2013,2013,,,29,29,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
59,VTH-021,Q22,49,5,KOCK22,,2014,2014,,,29,29,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
60,VTH-022,Q24,49,5,KOCK24,,2014,2014,,,17,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
61,VTH-023,Q25,49,5,KOCK25,,2014,2014,,,17,1,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
62,VTH-024,Q98,49,5,KOCK98,,2013,2013,,,36,36,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
63,VTH-025,Q99,49,5,KOCK99,,2013,2013,,,36,36,1000,1,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
64,VTH-026,Q01_CM,49,2,KOCK01,19MT-2613,2009,2009,SC400K,,11,12,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
65,VTH-027,Q02_CM,49,2,KOCK02,19MT-2630,2009,2009,SC400K,,11,12,1000,3,1000,,,NULL,"2015-05-04 08:55:50","2015-05-04 08:55:50"
